decision_id,occurrence_id,unit_id,semantic_unit_id,source_term_or_construction,intended_sense,chosen_rendering,recording_mode,confidence,provisional,review_priority,please_double_check_question,source_path,source_file_sha256,source_line_status,source_line_start,source_line_end,source_byte_status,source_byte_start,source_byte_end_exclusive,source_column_start,source_column_end_exclusive,source_span_sha256,source_excerpt,target_path,target_file_sha256,target_line_status,target_line_start,target_line_end,target_byte_status,target_byte_start,target_byte_end_exclusive,target_column_start,target_column_end_exclusive,target_span_sha256,target_excerpt,reader_status,reader_artifact_filename,reader_artifact_sha256,reader_profile,printed_page,assembled_pdf_page,reader_provenance_or_reason,evidence_refs
OLP-TR-TERM-0001,OLP-TR-TERM-0001-O-0001-00001-0031-R1,OLP-0001,OLP-0001:legacy-term:0001:target-L1-C31:render-1,Open Logic Project,Historical terminology-ledger scope: project name; no narrower sense is inferred automatically.,Açık Mantık Projesi,retrospective,low,true,high,Please double-check whether “Açık Mantık Projesi” is the best Turkish rendering of “Open Logic Project” in project name. / “Open Logic Project” için project name bağlamında “Açık Mantık Projesi” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,https://raw.githubusercontent.com/OpenLogicProject/OpenLogic/9620cc73f9c8e0ad003c514a5d3748f29611c4c0/content/open-logic-about.tex,e4f2e2ec5d9957fa71df41e9ed100641fe08230f63af6065eaafcb3d37346f4a,pending,,,pending,,,,,,Unpaired source term: Open Logic Project,source/locale/tr/content/open-logic-about.tex,9d30f00f8d320feba9b09e62192e85790e5980050f89321a5767f96f8f5f6d4c,available,1,1,available,30,52,31,50 (end exclusive),1dab14dc92fcc842735d35cae4ab5882a8f1636439fd759b7286191a9407e991,\chapter*{Open Logic Project (Açık Mantık Projesi) Hakkında},pending,,,,,,Exact source-line-to-PDF-page binding is pending; no SyncTeX exists and no unique extracted-text page was proved. Page-evidence result: normalized_context_occurs_on_multiple_pdf_pages. Proven module render instance 1 starts on physical page 2 (printed 1); that module-start page is not asserted as this occurrence's page.,"[{""path_or_uri"":""../../source/locale/tr/content/open-logic-about.tex"",""bytes"":1728,""sha256"":""9d30f00f8d320feba9b09e62192e85790e5980050f89321a5767f96f8f5f6d4c""}]"
OLP-TR-TERM-0001,OLP-TR-TERM-0001-O-0001-00002-0052-R1,OLP-0001,OLP-0001:legacy-term:0001:target-L2-C52:render-1,Open Logic Project,Historical terminology-ledger scope: project name; no narrower sense is inferred automatically.,Açık Mantık Projesi,retrospective,low,true,high,Please double-check whether “Açık Mantık Projesi” is the best Turkish rendering of “Open Logic Project” in project name. / “Open Logic Project” için project name bağlamında “Açık Mantık Projesi” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,https://raw.githubusercontent.com/OpenLogicProject/OpenLogic/9620cc73f9c8e0ad003c514a5d3748f29611c4c0/content/open-logic-about.tex,e4f2e2ec5d9957fa71df41e9ed100641fe08230f63af6065eaafcb3d37346f4a,pending,,,pending,,,,,,Unpaired source term: Open Logic Project,source/locale/tr/content/open-logic-about.tex,9d30f00f8d320feba9b09e62192e85790e5980050f89321a5767f96f8f5f6d4c,available,2,2,available,116,138,52,71 (end exclusive),1dab14dc92fcc842735d35cae4ab5882a8f1636439fd759b7286191a9407e991,\addcontentsline{toc}{chapter}{Open Logic Project (Açık Mantık Projesi) Hakkında},available,00_OPENLOGIC_tr_COMPLETE_LINKED_READER_OLP-0722.pdf,b21aea2ea90b7129ba8a11e6548a4b8b116e1fa9ef3228d59414c5be58099675,tr-Latn complete linked reader,1,2,unique_normalized_pdf_text_context; exact target source locus; page-evidence=ea924caf84d669c2360a01add82506cb2ce9b240fa106284aeb154c9293db4df; granularity=exact_literal_target_source_occurrence_to_unique_pdf_page,"[{""path_or_uri"":""../../source/locale/tr/content/open-logic-about.tex"",""bytes"":1728,""sha256"":""9d30f00f8d320feba9b09e62192e85790e5980050f89321a5767f96f8f5f6d4c""}]"
OLP-TR-TERM-0001,OLP-TR-TERM-0001-STYLE-open-logic-locale-0032-033,OLP-0019,locale-style:open-logic-locale.sty:L32:C33:OLP-TR-TERM-0001,Open Logic Project,Historical terminology-ledger scope: project name; no narrower sense is inferred automatically.,Açık Mantık Projesi,retrospective,low,true,high,Please double-check whether “Açık Mantık Projesi” is the best Turkish rendering of “Open Logic Project” in project name. / “Open Logic Project” için project name bağlamında “Açık Mantık Projesi” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,source/locale/tr/TERMINOLOGY.csv,fb88987e1e19eb33afa5badd538f8624dd4df93c3952c5646c6e439fd7a07818,available,2,2,available,100,118,18,36 (end exclusive),719d9d2ac56d4e5c4ea8d6e938223ca18c31edf6f5cb566e3dd8f34e5941c610,"OLP-TR-TERM-0001,Open Logic Project,Açık Mantık Projesi,provisional,project_name,""Keep the official English name in attribution and repository URLs; Turkish reader name is an adaptation label, not an endorsed official name."",active_no_native_gate",source/locale/tr/open-logic-locale.sty,b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7,available,32,32,available,1384,1406,33,52 (end exclusive),1dab14dc92fcc842735d35cae4ab5882a8f1636439fd759b7286191a9407e991,\setlocalecaption{english}{OLP}{Açık Mantık Projesi},not_applicable,,,,,,"This occurrence is a locale-definition or historical-ledger locus, not a reader-body occurrence.","[{""path_or_uri"":""../../source/locale/tr/open-logic-locale.sty"",""bytes"":4758,""sha256"":""b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7""}]"
OLP-TR-TERM-0002,OLP-TR-TERM-0002-O-0001-00004-0027-R1,OLP-0001,OLP-0001:legacy-term:0002:target-L4-C27:render-1,The Open Logic Text,Historical terminology-ledger scope: work title; no narrower sense is inferred automatically.,Açık Mantık Metni,retrospective,low,true,high,Please double-check whether “Açık Mantık Metni” is the best Turkish rendering of “The Open Logic Text” in work title. / “The Open Logic Text” için work title bağlamında “Açık Mantık Metni” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,https://raw.githubusercontent.com/OpenLogicProject/OpenLogic/9620cc73f9c8e0ad003c514a5d3748f29611c4c0/content/open-logic-about.tex,e4f2e2ec5d9957fa71df41e9ed100641fe08230f63af6065eaafcb3d37346f4a,pending,,,pending,,,,,,Unpaired source term: The Open Logic Text,source/locale/tr/content/open-logic-about.tex,9d30f00f8d320feba9b09e62192e85790e5980050f89321a5767f96f8f5f6d4c,available,4,4,available,178,198,27,44 (end exclusive),c8b3be114b7d924c4d58f02a0c6f06e5b0c68e07e9404aa0ffde78d8630bfe64,"\textit{Open Logic Text} (Açık Mantık Metni), biçimsel meta-mantık ve biçimsel yöntemleri orta",available,00_OPENLOGIC_tr_COMPLETE_LINKED_READER_OLP-0722.pdf,b21aea2ea90b7129ba8a11e6548a4b8b116e1fa9ef3228d59414c5be58099675,tr-Latn complete linked reader,1,2,unique_normalized_pdf_text_context; exact target source locus; page-evidence=ea924caf84d669c2360a01add82506cb2ce9b240fa106284aeb154c9293db4df; granularity=exact_literal_target_source_occurrence_to_unique_pdf_page,"[{""path_or_uri"":""../../source/locale/tr/content/open-logic-about.tex"",""bytes"":1728,""sha256"":""9d30f00f8d320feba9b09e62192e85790e5980050f89321a5767f96f8f5f6d4c""}]"
OLP-TR-TERM-0002,OLP-TR-TERM-0002-STYLE-open-logic-locale-0033-033,OLP-0019,locale-style:open-logic-locale.sty:L33:C33:OLP-TR-TERM-0002,The Open Logic Text,Historical terminology-ledger scope: work title; no narrower sense is inferred automatically.,Açık Mantık Metni,retrospective,low,true,high,Please double-check whether “Açık Mantık Metni” is the best Turkish rendering of “The Open Logic Text” in work title. / “The Open Logic Text” için work title bağlamında “Açık Mantık Metni” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,source/locale/tr/TERMINOLOGY.csv,fb88987e1e19eb33afa5badd538f8624dd4df93c3952c5646c6e439fd7a07818,available,3,3,available,350,369,18,37 (end exclusive),d11727597b4896c01173e91afe25320e0b4006577bc28a5141bef5be2faf0463,"OLP-TR-TERM-0002,The Open Logic Text,Açık Mantık Metni,provisional,work_title,""Preserve official English title in attribution metadata."",active_no_native_gate",source/locale/tr/open-logic-locale.sty,b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7,available,33,33,available,1440,1460,33,50 (end exclusive),c8b3be114b7d924c4d58f02a0c6f06e5b0c68e07e9404aa0ffde78d8630bfe64,\setlocalecaption{english}{OLT}{Açık Mantık Metni},not_applicable,,,,,,"This occurrence is a locale-definition or historical-ledger locus, not a reader-body occurrence.","[{""path_or_uri"":""../../source/locale/tr/open-logic-locale.sty"",""bytes"":4758,""sha256"":""b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7""}]"
OLP-TR-TERM-0003,OLP-TR-TERM-0003-STYLE-open-logic-locale-0014-037,OLP-0019,locale-style:open-logic-locale.sty:L14:C37:OLP-TR-TERM-0003,theorem,Historical terminology-ledger scope: environment label; no narrower sense is inferred automatically.,teorem,retrospective,low,true,high,Please double-check whether “teorem” is the best Turkish rendering of “theorem” in environment label. / “theorem” için environment label bağlamında “teorem” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,source/locale/tr/TERMINOLOGY.csv,fb88987e1e19eb33afa5badd538f8624dd4df93c3952c5646c6e439fd7a07818,available,4,4,available,512,519,18,25 (end exclusive),cc7a8a13032ef578574fb8fe633843afd53af5b8b632aef933c901524dc1c1a5,"OLP-TR-TERM-0003,theorem,teorem,provisional,environment_label,,active_no_native_gate",source/locale/tr/open-logic-locale.sty,b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7,available,14,14,available,655,661,37,43 (end exclusive),46a9033ca5a117cb5a2090acddddcaf97e08e202bb4306c1018f470ef1947a6f,\setlocalecaption{english}{theorem}{Teorem},not_applicable,,,,,,"This occurrence is a locale-definition or historical-ledger locus, not a reader-body occurrence.","[{""path_or_uri"":""../../source/locale/tr/open-logic-locale.sty"",""bytes"":4758,""sha256"":""b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7""}]"
OLP-TR-TERM-0003,OLP-TR-TERM-0003-STYLE-open-logic-locale-0046-016,OLP-0019,locale-style:open-logic-locale.sty:L46:C16:OLP-TR-TERM-0003,theorem,Historical terminology-ledger scope: environment label; no narrower sense is inferred automatically.,teorem,retrospective,low,true,high,Please double-check whether “teorem” is the best Turkish rendering of “theorem” in environment label. / “theorem” için environment label bağlamında “teorem” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,source/locale/tr/TERMINOLOGY.csv,fb88987e1e19eb33afa5badd538f8624dd4df93c3952c5646c6e439fd7a07818,available,4,4,available,512,519,18,25 (end exclusive),cc7a8a13032ef578574fb8fe633843afd53af5b8b632aef933c901524dc1c1a5,"OLP-TR-TERM-0003,theorem,teorem,provisional,environment_label,,active_no_native_gate",source/locale/tr/open-logic-locale.sty,b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7,available,46,46,available,2092,2098,16,22 (end exclusive),9e66c40d664ddbf85b4ae5fe473d1d709874e0dbc4ec499f9eb3e6859570cf73,\crefname{thm}{teorem}{teoremler},not_applicable,,,,,,"This occurrence is a locale-definition or historical-ledger locus, not a reader-body occurrence.","[{""path_or_uri"":""../../source/locale/tr/open-logic-locale.sty"",""bytes"":4758,""sha256"":""b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7""}]"
OLP-TR-TERM-0003,OLP-TR-TERM-0003-STYLE-open-logic-locale-0064-016,OLP-0019,locale-style:open-logic-locale.sty:L64:C16:OLP-TR-TERM-0003,theorem,Historical terminology-ledger scope: environment label; no narrower sense is inferred automatically.,teorem,retrospective,low,true,high,Please double-check whether “teorem” is the best Turkish rendering of “theorem” in environment label. / “theorem” için environment label bağlamında “teorem” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,source/locale/tr/TERMINOLOGY.csv,fb88987e1e19eb33afa5badd538f8624dd4df93c3952c5646c6e439fd7a07818,available,4,4,available,512,519,18,25 (end exclusive),cc7a8a13032ef578574fb8fe633843afd53af5b8b632aef933c901524dc1c1a5,"OLP-TR-TERM-0003,theorem,teorem,provisional,environment_label,,active_no_native_gate",source/locale/tr/open-logic-locale.sty,b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7,available,64,64,available,2721,2727,16,22 (end exclusive),46a9033ca5a117cb5a2090acddddcaf97e08e202bb4306c1018f470ef1947a6f,\Crefname{thm}{Teorem}{Teoremler},not_applicable,,,,,,"This occurrence is a locale-definition or historical-ledger locus, not a reader-body occurrence.","[{""path_or_uri"":""../../source/locale/tr/open-logic-locale.sty"",""bytes"":4758,""sha256"":""b81a7a7aa62a2180e3c27baf367b46a4b19a4ae3e0dc6e4ebf0d7ec96f3c51c7""}]"
OLP-TR-TERM-0003,OLP-TR-TERM-0003-O-0054-00021-0055-R1,OLP-0054,OLP-0054:legacy-term:0003:target-L21-C55:render-1,theorem,Historical terminology-ledger scope: environment label; no narrower sense is inferred automatically.,teorem,retrospective,low,true,high,Please double-check whether “teorem” is the best Turkish rendering of “theorem” in environment label. / “theorem” için environment label bağlamında “teorem” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,https://raw.githubusercontent.com/OpenLogicProject/OpenLogic/9620cc73f9c8e0ad003c514a5d3748f29611c4c0/content/sets-functions-relations/infinite/card-sb.tex,88534a3f2be736a704ab31343e45933edb9712fa5b4411eb102c0f4a12d656e9,available,21,21,available,922,929,20,27 (end exclusive),cc7a8a13032ef578574fb8fe633843afd53af5b8b632aef933c901524dc1c1a5,you that this is a theorem---rather like the irrationality of,source/locale/tr/content/sets-functions-relations/infinite/card-sb.tex,dfb01c8e6eea562d8ec61f71c43724e060bc2c605e79f7405e0a8085e6c05842,available,21,21,available,1001,1007,55,61 (end exclusive),9e66c40d664ddbf85b4ae5fe473d1d709874e0dbc4ec499f9eb3e6859570cf73,gibi---\emph{birçok} ilginç ve farklı ispatı olan bir teorem olduğuna sizi,available,00_OPENLOGIC_tr_COMPLETE_LINKED_READER_OLP-0722.pdf,b21aea2ea90b7129ba8a11e6548a4b8b116e1fa9ef3228d59414c5be58099675,tr-Latn complete linked reader,107,108,unique_normalized_pdf_text_context; exact target source locus; page-evidence=ea924caf84d669c2360a01add82506cb2ce9b240fa106284aeb154c9293db4df; granularity=exact_literal_target_source_occurrence_to_unique_pdf_page,"[{""path_or_uri"":""../../source/locale/tr/content/sets-functions-relations/infinite/card-sb.tex"",""bytes"":4722,""sha256"":""dfb01c8e6eea562d8ec61f71c43724e060bc2c605e79f7405e0a8085e6c05842""}]"
OLP-TR-TERM-0003,OLP-TR-TERM-0003-O-0064-00051-0057-R1,OLP-0064,OLP-0064:legacy-term:0003:target-L51-C57:render-1,theorem,Historical terminology-ledger scope: environment label; no narrower sense is inferred automatically.,teorem,retrospective,low,true,high,Please double-check whether “teorem” is the best Turkish rendering of “theorem” in environment label. / “theorem” için environment label bağlamında “teorem” karşılığının en uygun Türkçe seçim olup olmadığını lütfen yeniden denetleyin.,https://raw.githubusercontent.com/OpenLogicProject/OpenLogic/9620cc73f9c8e0ad003c514a5d3748f29611c4c0/content/first-order-logic/proof-systems/introduction.tex,5172343625a0d66971257858a1a6e359805ffeec979bd5afdc0377864799a756,pending,,,pending,,,,,,Unpaired source term: theorem,source/locale/tr/content/first-order-logic/proof-systems/introduction.tex,b798c8f248a07042a0a9f2d73c8fc55d676e4a70a76ee99cca3a1feea5be36f8,available,51,51,available,2697,2703,57,63 (end exclusive),9e66c40d664ddbf85b4ae5fe473d1d709874e0dbc4ec499f9eb3e6859570cf73,"!!{derivation} sistemleri, !!a{sentence} ne zaman \emph{teorem} sayılacağına",pending,,,,,,Exact source-line-to-PDF-page binding is pending; no SyncTeX exists and no unique extracted-text page was proved. Page-evidence result: normalized_context_not_found_in_pdf_text. Proven module render instance 1 starts on physical page 123 (printed 122); that module-start page is not asserted as this occurrence's page.,"[{""path_or_uri"":""../../source/locale/tr/content/first-order-logic/proof-systems/introduction.tex"",""bytes"":5915,""sha256"":""b798c8f248a07042a0a9f2d73c8fc55d676e4a70a76ee99cca3a1feea5be36f8""}]"
